Name,Address,Telephone
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
"P. R. Dhakal & Associates, Chartered Accountants","""Nirmal Shanti Bhawan"", No 74, 1st Floor, Zero KM,","977 - 61-550449,9856014200,"
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
"P. R. Dhakal & Associates, Chartered Accountants","""Nirmal Shanti Bhawan"", No 74, 1st Floor, Zero KM,","977 - 61-550449,9856014200,"
ADVOCATE KABIRAJ TIMALSINA,"New Baneshwor,","9851025303,9851025303,"
ADVOCATE KABIRAJ TIMALSINA,"New Baneshwor,","9851025303,9851025303,"
SUPER LAWYERS,"Sadarline Road, Near Dist. & High court Nepalgunj,","9841571996,,"
SUPER LAWYERS,"Sadarline Road, Near Dist. & High court Nepalgunj,","9841571996,,"
"T. Karki & Associates, chartered Accountants","Awati Marg, Putalisadak,","014232213,9801080031,"
"T. Karki & Associates, chartered Accountants","Awati Marg, Putalisadak,","014232213,9801080031,"
Mero Lekha Pvt. Ltd.,"Kathmandu Metropolitan City, ward No. 10, Buddhanagar Kathmandu,","01-4781048,9851187000,"
Mero Lekha Pvt. Ltd.,"Kathmandu Metropolitan City, ward No. 10, Buddhanagar Kathmandu,","01-4781048,9851187000,"
"PEC Attestation, Apostille and Translation Service","282, Khandke Building, Office No. 21, 2nd floor, Shahid Bhagat Singh Road Fort Market Mumbai, Maharashtra 400001,","8956588571,8956588571,"
"PEC Attestation, Apostille and Translation Service","282, Khandke Building, Office No. 21, 2nd floor, Shahid Bhagat Singh Road Fort Market Mumbai, Maharashtra 400001,","8956588571,8956588571,"
Zenith Business Consultancy,"Pako New Road,","9849966156,,"
Zenith Business Consultancy,"Pako New Road,","9849966156,,"
ANUP AND ASSOCIATES,"Putalisadak,","4246445,,"
ANUP AND ASSOCIATES,"Putalisadak,","4246445,,"
GLOBAL LAW ASSOCIATES,"Putalisadak,","4438722,,"
GLOBAL LAW ASSOCIATES,"Putalisadak,","4438722,,"
INNLLECTUAL PROPERTY PROTECTON BUREAU PVT. LTD.,"Kathmandu,","4373901,,"
INNLLECTUAL PROPERTY PROTECTON BUREAU PVT. LTD.,"Kathmandu,","4373901,,"
INTERNATIONAL LAW ASSOCIATES,"Putalisadak,","4431831,,"
INTERNATIONAL LAW ASSOCIATES,"Putalisadak,","4431831,,"
LEGAL ADVISERS FORUM,"Bagbazar,","42279054219079,,"
LEGAL ADVISERS FORUM,"Bagbazar,","42279054219079,,"
MUKUNDA REGMI,"Thahiti,","42209464418567,,"
NIRAULA LAW FIRM,"Kathmandu,","4433756,,"
MUKUNDA REGMI,"Thahiti,","42209464418567,,"
OFFICE OF THE ATTORNEYS,"Kathmandu,","4252536,,"
NIRAULA LAW FIRM,"Kathmandu,","4433756,,"
OFFICE OF THE ATTORNEYS,"Kathmandu,","4252536,,"
PANDEY LAW FIRM,"Samakhushi,","4352660,,"
PANDEY LAW FIRM,"Samakhushi,","4352660,,"
PIONEER LAW ASSOCIATES,"Putalisadak,","42213404261000,,"
PIONEER LAW ASSOCIATES,"Putalisadak,","42213404261000,,"
SWASTIK LEGAL HELP AND RESEARCH CENTER,"Kathmandu,","4496039,,"
SWASTIK LEGAL HELP AND RESEARCH CENTER,"Kathmandu,","4496039,,"
DHITAL LEGAL SERVICE CENTER,"Jamal,","424867,+9779841266609,"
DHITAL LEGAL SERVICE CENTER,"Jamal,","424867,+9779841266609,"
ABHINAV LAW CHAMBER,"Dillibazar,","4435520,,"
ABHINAV LAW CHAMBER,"Dillibazar,","4435520,,"
ADHIKARI LAW ASSOCIATES,"Kathmandu,","9841263012,,"
ADHIKARI LAW ASSOCIATES,"Kathmandu,","9841263012,,"
ANAM LEGAL SERVICE AND CONSULTANCY,"Kathmandu,","4257025,,"
ANAM LEGAL SERVICE AND CONSULTANCY,"Kathmandu,","4257025,,"
BHAGAWATI LEGAL OFFICE,"Kathmandu,","4439415,,"
BHAGAWATI LEGAL OFFICE,"Kathmandu,","4439415,,"
BHUSAL AND COMPANY,"Balaju,","40265669841255139,,"
BHUSAL AND COMPANY,"Balaju,","40265669841255139,,"
DIYAD LAW ASSOCIATES,"Maitidevi,","4417516,,"
DIYAD LAW ASSOCIATES,"Maitidevi,","4417516,,"
EVEREST LAW ASSOCIATES,"Bagbazar,","4242177,,"
EVEREST LAW ASSOCIATES,"Bagbazar,","4242177,,"
G. AND ASSOCIATES,"Putalisadak,","4227629,,"
GREEN LAW COUNCIL,"Kathmandu,","4433166,,"
G. AND ASSOCIATES,"Putalisadak,","4227629,,"
GUPTA COUNSEL,"Anamnagar,","4225004,,"
GREEN LAW COUNCIL,"Kathmandu,","4433166,,"
GUPTA COUNSEL,"Anamnagar,","4225004,,"
JURIST LINK,"Dillibazar,","44344273,,"
KALYAN LAW FIRM,"New Road,","44253094416577,,"
JURIST LINK,"Dillibazar,","44344273,,"
KANUNI SEWA FIRM,"Baluwatar,","44208344423666,,"
KALYAN LAW FIRM,"New Road,","44253094416577,,"
KATHMANDU LAW FIRM,"New Baneshwor,","4490219,,"
KANUNI SEWA FIRM,"Baluwatar,","44208344423666,,"
LAWYERS INC,"Kathmandu,","4432831,,"
LEGAL RIGHT CHAMBER,"Thamel,","4434960,,"
KATHMANDU LAW FIRM,"New Baneshwor,","4490219,,"
LAWYERS INC,"Kathmandu,","4432831,,"
LEGAL AID ASSOCIATES,"Dillibazar,","4429124,,"
LEGAL RIGHT CHAMBER,"Thamel,","4434960,,"
MAITREYA LAW CHAMBER,"Putalisadak,","4429574,,"
LEGAL AID ASSOCIATES,"Dillibazar,","4429124,,"
PANTA AND PANTA CORPORATE LAW ASSOCIATES,"Kathmandu,","42494104251089,,"
PARAMOUNT LAW ASSOCIATES,"Kathmandu,","4250940,,"
MAITREYA LAW CHAMBER,"Putalisadak,","4429574,,"
PANTA AND PANTA CORPORATE LAW ASSOCIATES,"Kathmandu,","42494104251089,,"
PRADHAN AND ASSOCIATES,"Kathmandu,","4252272,,"
PRATIK LAW FORUM,"Maitidevi,","4419771,,"
PARAMOUNT LAW ASSOCIATES,"Kathmandu,","4250940,,"
PRADHAN AND ASSOCIATES,"Kathmandu,","4252272,,"
PURBADHAR KANUNI SEWA,"Kathmandu,","4242655,,"
PRATIK LAW FORUM,"Maitidevi,","4419771,,"
SHREE BADIMALIKA LAWERS OFFICE,"Putalisadak,","4241621,,"
SHRIMAR LAW,"Putalisadak,","4251341,,"
PURBADHAR KANUNI SEWA,"Kathmandu,","4242655,,"
TARA GENERAL SERVICE SECTOR,"Gongabu,","4354545,,"
SHREE BADIMALIKA LAWERS OFFICE,"Putalisadak,","4241621,,"
TIME LAW CHAMBER,"Gangabu,","9841253319,,"
SHRIMAR LAW,"Putalisadak,","4251341,,"
UNITED LEGAL SERVICE,"Kathmandu,","4372313,,"
TARA GENERAL SERVICE SECTOR,"Gongabu,","4354545,,"
VINOD KUMAR SHARMA,"Janakpur,","520123,,"
TIME LAW CHAMBER,"Gangabu,","9841253319,,"
VISION LAW CHAMBER,"Kathmandu,","4241730,,"
UNITED LEGAL SERVICE,"Kathmandu,","4372313,,"
Business Registration in Nepal,"Sundhara, Kathmandu,","9841463194,,"
ASRAYA LEGAL SERVICE,"Dillibazar,","4267861,,"
VINOD KUMAR SHARMA,"Janakpur,","520123,,"
COMMON LAW CHAMBER,"Babar Mahal,","42440359851044770,,"
VISION LAW CHAMBER,"Kathmandu,","4241730,,"
COMMERCIAL LAW AND ARBITRATION CONSULTANT,"Kathmandu Plaza,","4241456,,"
GHIMIRE AND CO.,"Pako, New Road,","42213264223916,,"
Business Registration in Nepal,"Sundhara, Kathmandu,","9841463194,,"
HARISCHANDRA SUBEDI,"Kathmandu,","42221244771145,,"
ASRAYA LEGAL SERVICE,"Dillibazar,","4267861,,"
LEGAL ADVISE CENTRE,"Putalisadak,","4417056,,"
COMMON LAW CHAMBER,"Babar Mahal,","42440359851044770,,"
COMMERCIAL LAW AND ARBITRATION CONSULTANT,"Kathmandu Plaza,","4241456,,"
MILESTONE LAW FIRM,"Kathmandu,","4330720,,"
REGMI LAW ASSOCIATES,"Thamel,","4411444,,"
GHIMIRE AND CO.,"Pako, New Road,","42213264223916,,"
SHREE SAMAN LEGAL SERVICE,"Dillibazar,","4410647,,"
HARISCHANDRA SUBEDI,"Kathmandu,","42221244771145,,"
LEGAL ADVISE CENTRE,"Putalisadak,","4417056,,"
ABADESBIHARI SIGHNA,"Janakpur,","520050520150,,"
MILESTONE LAW FIRM,"Kathmandu,","4330720,,"
ABADHESH KUMAR YADAV,"Butwal/Bhairahawa,","541161,,"
ACADEMY LAW ASSOCIATES,"New Road,","4421787,,"
REGMI LAW ASSOCIATES,"Thamel,","4411444,,"
ADARSH KANUNI SADAN,"Maitighar,","4265388,,"
SHREE SAMAN LEGAL SERVICE,"Dillibazar,","4410647,,"
ADVOCATES LAW CHAMBER,"Dillibazar,","4411721,,"
ABADESBIHARI SIGHNA,"Janakpur,","520050520150,,"
ABADHESH KUMAR YADAV,"Butwal/Bhairahawa,","541161,,"
AKRAJ ACHARYA,"Sanihat,","560194560085,,"
ALI AKBAR MIKRANI,"Butwal/Bhairahawa,","541013,,"
ACADEMY LAW ASSOCIATES,"New Road,","4421787,,"
ADARSH KANUNI SADAN,"Maitighar,","4265388,,"
ANAND LEKHAPADI CENTRE,"Dillibazar,","44148914472693,,"
ANAND MOHAN BHATTARAI,"Pokhara,","549395,,"
ADVOCATES LAW CHAMBER,"Dillibazar,","4411721,,"
ANANTA LAL BHANDARI,"Kathmandu,","4436095,,"
AKRAJ ACHARYA,"Sanihat,","560194560085,,"
ANANTA RAJ DUMRE,"Kathmandu,","4488524,,"
ALI AKBAR MIKRANI,"Butwal/Bhairahawa,","541013,,"
ANNAPURNA LAW FIRM,"Pulchowk, Lalitpur","5524150,,"
ANUPAM LAW CHAMBER,"Dillibazar,","44113944472674,,"
ANAND LEKHAPADI CENTRE,"Dillibazar,","44148914472693,,"
APRIL COURT ASSOCIATION,"Lalitpur, Lalitpur","5536082,,"
ANAND MOHAN BHATTARAI,"Pokhara,","549395,,"
ARJUN PD. SINGH,"Nepalgunj Road,","522678,,"
ANANTA LAL BHANDARI,"Kathmandu,","4436095,,"
ASSOCIATES OF LAWYERS AND CONSULTANTS,"Thamel,","44433819851044409,,"
ANANTA RAJ DUMRE,"Kathmandu,","4488524,,"
ASWASTHAMA BHAKTA KHAREL,"Lazimpat,","44200949841390259,,"
ANNAPURNA LAW FIRM,"Pulchowk, Lalitpur","5524150,,"
ATRI LAW CHAMBER,"Anamnagar,","4433045,,"
ANUPAM LAW CHAMBER,"Dillibazar,","44113944472674,,"
ATTORNEY GENERAL,"Babarmahal,","4262394,,"
APRIL COURT ASSOCIATION,"Lalitpur, Lalitpur","5536082,,"
AVILEKH LAW CHAMBER,"Dillibazar,","4426327,,"
ARJUN PD. SINGH,"Nepalgunj Road,","522678,,"
AVISHEK LAW FIRM,"Bagbazar,","4246737,,"
ASSOCIATES OF LAWYERS AND CONSULTANTS,"Thamel,","44433819851044409,,"
BADRI KUMAR BASNET,"Baglung,","520393520262,,"
ASWASTHAMA BHAKTA KHAREL,"Lazimpat,","44200949841390259,,"
BADRI NATH ROKA CHHETRI,"Kathmandu,","4254398,,"
ATRI LAW CHAMBER,"Anamnagar,","4433045,,"
BAIDANATH UPADHAYA,"Hetauda,","520390520961,,"
ATTORNEY GENERAL,"Babarmahal,","4262394,,"
BAIDHANATH PD. GUPTA,"Kathmandu,","4487636,,"
BAL MUKUND DAWADI,"Kathmandu,","4311030,,"
AVILEKH LAW CHAMBER,"Dillibazar,","4426327,,"
AVISHEK LAW FIRM,"Bagbazar,","4246737,,"
BALIRAM KUMAR,"Surkhet, Surkhet","520275,,"
BALRAM BISTA,"Ilam,","560195660195,,"
BADRI KUMAR BASNET,"Baglung,","520393520262,,"
BADRI NATH ROKA CHHETRI,"Kathmandu,","4254398,,"
BALRAM PD. ADHIKARI,"Janakpur,","520164,,"
BAM KUMAR SHRESTHA,"Sanihat,","530201527158,,"
BAIDANATH UPADHAYA,"Hetauda,","520390520961,,"
BAIDHANATH PD. GUPTA,"Kathmandu,","4487636,,"
BAL MUKUND DAWADI,"Kathmandu,","4311030,,"
BARAL KO KANUN KARYALAYA,"Kathmandu,","4225021,,"
BALIRAM KUMAR,"Surkhet, Surkhet","520275,,"
BARDIYA UPADHAYA,"Nepalgunj Road,","520277,,"
BHAIRAB PD. LAMSAL,"Kathmandu,","4470010,,"
BALRAM BISTA,"Ilam,","560195660195,,"
BALRAM PD. ADHIKARI,"Janakpur,","520164,,"
BHANU LAW CHAMBER,"Dillibazar,","4419473,,"
BAM KUMAR SHRESTHA,"Sanihat,","530201527158,,"
BHARAT PD. ADHIKARI,"Dhankuta,","520195,,"
BHARMA SINHA LAW CONCERN,"Dharmapath,","4222107,,"
BHASU DEV DHUNGANA,"Bagbazar,","4220007,,"
BARAL KO KANUN KARYALAYA,"Kathmandu,","4225021,,"
BARDIYA UPADHAYA,"Nepalgunj Road,","520277,,"
BHAGARB LEGAL SERVICE,"Dillibazar,","4417859,,"
BHAIRAB PD. LAMSAL,"Kathmandu,","4470010,,"
BHIM BDR. BOHARA,"Janakpur,","520021520224,,"
BHANU LAW CHAMBER,"Dillibazar,","4419473,,"
BHIMENDRA BDR. KARKI,"Pokhara,","520069,,"
BHISMA MARASINI,"Kathmandu,","4377018,,"
BHARAT PD. ADHIKARI,"Dhankuta,","520195,,"
BHUPENDRA PD. RAI,"Ilam,","560195,,"
BHARMA SINHA LAW CONCERN,"Dharmapath,","4222107,,"
BHASU DEV DHUNGANA,"Bagbazar,","4220007,,"
BIJAY JURIST CHAMBER,"Dillibazar,","44381389851045286,,"
BIJAYA LAW FIRM,"Kathmandu,","4222497,,"
BHAGARB LEGAL SERVICE,"Dillibazar,","4417859,,"
BIM PD. OJHA,"Butwal/Bhairahawa,","560271,,"
BHIM BDR. BOHARA,"Janakpur,","520021520224,,"
BIMAL MULEPATI,"Baglung,","520265,,"
BHIMENDRA BDR. KARKI,"Pokhara,","520069,,"
