Name,Address,Telephone
Petrogreen Petroleum,"Andheri Kurla Road, Andheri west Mumbai,","09315460835,09315460835,"
Nepal Gas Industries,"Balaju,","+977-1-4350416,,"
Aditya Enterprises Pvt Ltd,"Kathmandu, Behind Honda Showroom,below Laxmi Bank,teku Road,","+977-1-4100066,,"
Sahara Gas Industry Pvt. Ltd.,"E - W Hwy,","+977-57-411010,,"
kushum enterprises pvt ltd,"Milan chowk,sitapaila,Ring Road,","9801098144,,"
BAGMATI COMMERCIAL PVT LTD,"Bhansar Marg, Teku-12,","01-4239429,9851126112,"
Samundra Engineering & Heavy Equipment Pvt. Ltd.,"Thamel, P.O. Box: 11943, Ktm,","00977-1-4266445,00977-9851026693,"
NARAYANI OIL AND REFINARY UDYOG.PVT. LTD.,"Main Road,","521864529892,,"
Unicorn Lubricants Pvt Ltd,"Ward No 19,","+977 52 532032,+977 9804240070,"
ADARSH OIL INDUSTRIES,"Main Road,","521864529892,,"
Bagmati Gas Suppliers,"Balkhu Chowk, P.O. Box: 10780, Ktm,","00977-1-4671386,9851126112,"
DURGA MODERN OIL MILL,"Kataiya, Butwal/Bhairahawa","520285521473,,"
Everest Gas Industry Pvt. Ltd.,"Chobhar, P.O. Box: 4790, Ktm,","00977-1-43307374333889,,"
GANDAKI OIL MILLS,"Mahendra Pool,","521571523016,,"
Gauri Shanker Gas Udyog (P) Ltd,"Indra Chowk, P.O. Box: 772, Ktm,","00977-1-42240744248732,,"
GOVIND OIL INDUSTRIES,"Kataiya, Butwal/Bhairahawa","520360521939,,"
Griha Laxmi Gas Co. Pvt. Ltd.,"P.O. Box: 170, Pkr,","524977,,"
GYAN INDUSTRIES PVT. LTD.,"Kathmandu,","44304064430454,,"
Himalayan Petrochemicals Ltd.,"Kantipath, P.O. Box: 11211, Ktm,","00977-1-4216305,,"
HIMAL OXYGEN PVT. LTD.,"Kantipath,","42254904226327,,"
Koshi Gas Udyog (P) Ltd.,"Gwarko, P.O. Box: 19416, Ktm,","00977-1-55362465548140,,"
KOSHI GAS UDYOG PVT. LTD.,"Tripureshwor,","4257212,,"
MANAKAMANA VEGETABLE GHEE OIL CO. PVT. LTD.,"Battisputali,","4477288,,"
Moti Shrestha & Sons,"GPO: 2060, Ktm, Kupondole,","5523376,,"
NANDAN GHEE AND OIL INDUSTRIES PVT. LTD.,"Kathmandu,","44122144420233,,"
NARAYAN VEGETABLE INDUSTRIES PVT. LTD.,"Bhanutole,","526929523330,,"
NAVA- JYOTI GASES PVT. LTD.,"Koteshwor,","4111919,,"
Nepal Biogas Promotion Association,"Lalitpur, P.O. Box: 10074, Ktm,","00977-1-55298885544562,,"
Nepal Cylinders Pvt. Ltd.,"Pulchowk,","00977-1-55514645520343,,"
NEPAL SAL SEED OIL PVT. LTD.,"Kantipath,","42486334244352,,"
NIDHI OIL MILL,"Kantipath,","42486334422947,,"
PASHUPATI KHADYA TEL,"Thapathali,","42299224229888,,"
PRASHANTA ENTERPRISES,"Main Road, Chitwan","520295,,"
Sagarmatha Gas Udyog (P) Ltd.,"Tripureshwor, P.O. Box: 692, Ktm,","00977-1-42651264265127,,"
SHAKTI GAS PVT. LTD.,"Khichapokhari,","523835530358,,"
SHRI MAHAKALI OIL MILL,"Adarshnagar,","522462,,"
SHREE RAM REFINE OIL PRODUCTS PVT. LTD.,"Thapathali,","426005642609104260810,,"
SHREE SHIV SHAKTI GHEE UDYOG PVT. LTD.,"Teku,","41000414100042-45,,"
Siddhartha Acetylene & Carbon Di-oxide (P) Ltd.,"Kuleshwor, P.O. Box: 10780, Ktm,","00977-1-42715554274077,,"
SIDDHARTHA ACETYLENE AND CARBON DI-OXIDE PVT. LTD.,"Kuleshwor,","42715554274077,,"
SIDDHATHA OIL INDUSTRIES,"Tripureshwor,","42552834255290,,"
SRI KRISHNA OIL REFINERY AND VEGETABLE GHEE INDUSTRIES PVT. LTD.,"Tahachal,","42734014273402,,"
Baba Gas Udyog (P) Ltd.,"Chitwan,","056-529374529377,,"
Koshi Gas Udyog (P) Ltd.,"Duhabi, P.O. Box: 31,","+977-1-540069,,"
Manoj Gas Udyog Pvt. Ltd.,"M7VH+2RP, Kalankisthan Marga,","+977 1-4279308,,"
Motherland Energy Group Pvt. Ltd.,"Gongabu, P.O. Box: 20506, Ktm,","00977-1-4382495,00977-9841271677,"
Prima Gas Udyog,Pakali,"unknown,,"
Ugratara trade Concern,"Amargadhi 5,","096420562,9848728807,"
All Nepal Biogas Company Pvt. Ltd.,unknown,"6636779851055209,,"
Himalayan Petro Chemicals P. Ltd.,"Teenkune, P.O. Box: 10175, Ktm,","00977-1-4216305,,"
HIMALAYAN PETRO CHEMICALS PVT. LTD.,"Kantipath,","4216305,,"
MANOKAMANA VEGETABLE GHEE AND OIL INDUSTRIES PVT. LTD.,"Battisputali,","44708914480407,,"
MOTI SHRESTHA AND SONS,Lalitpur,"5523376,,"
Siddhartha Acetylene & Carbon Di-oxide (P) Ltd.,"Kapilvastu, Kapilvastu","076-530032,,"
Trishuli Gas Pvt. Ltd.,"Bhairahawa, Bhairahawa","520725,,"
Rajdhani Gas Industries Pvt. Ltd.,"Exhibition Road,","+977-1-4227653,+977-984-9142455,"
Baba Gas Udyog (P) Ltd.,"Gwarko,","00977-1-5542270,,"
BABA GAS UDYOG PVT. LTD.,"Kathmandu,","4271734,,"
D.G. INTERNATIONAL,"New Baneshwor,","4490320,,"
GAURI SHANKAR GAS UDYOG PVT. LTD.,"Putalisadak,","42240744248732,,"
Gharelu Gobar Gas Tatha Prabidhi Bikash Co. Pvt. Ltd.,"Rupandehi, Bhairahawa","540827,,"
GORKHA GAS PVT. LTD.,"Kantipath,","4262798,,"
Laligurans Gobar Gas Co. Pvt. Ltd.,"Nawalparasi, Nawalparasi","078-580181,,"
Lekbeshi Saurya Urja Tatha Gobar Gas Sewa Co. Pvt. Ltd.,"Gulmi, Gulmi","079-520207,,"
L. P. Gas Udyog Sangh,"Man Bhawan,","5545597,,"
Lumbini Gas Co. (P) Ltd.,"New Road,","00977-1-4231232,,"
Manakamana Gobar Gas Sewa Kendra Pvt. Ltd.,"New Road,","535432,,"
Munal Gobar Gas Co. Pvt. Ltd.,unknown,"023-582170,,"
Nepal Gas Industries (Narayani) Pvt. Ltd.,"Simara, Bara","053-520150,,"
NEPAL UNITED CO. LTD.,"Ganabahal,","42494534250009,,"
NIRVANA VANASPATI UDYOG PVT. LTD.,"Thapathali,","42267224229099,,"
Pragati Gobar Gas Sewa Kendra Pvt. Ltd.,"Tanahun, Tanahu","065-560573560873,,"
SAGARMATHA FLOUR MILLS PVT. LTD.,"Sanihat,","525537,,"
Sana Krishak Samudaik Gobar Gas Co. Pvt. Ltd.,"Morang,","545359,,"
SANYAM VEGETABLE OIL IND. PVT. LTD.,"Kantipath,","42250094225099,,"
Sudurpaschimanchal Gobar Gas Tatha Urja Bikas Co. Pvt. Ltd.,unknown,"099-525096524064,,"
Sugam Gas Udhyog Pvt. Ltd.,"Ravi Bhawan,","+977-1-4287877,,"
Bheri Gas Traders,"Surkhet Road,","+977-1-522413,,"
Manoj Gas Udyog Pvt. Ltd.,"Shreepur,","+977-1-522479,,"
PASHUPATI KHADYA TEL UDYOG PVT. LTD.,"Saatghumti Chowk, GPO Box: 80,","+977-1-524248+977-1-521748,,"
Prima Gas Udyog (P.) Ltd.,"Pakali,","+977-1-583464,,"
Saibaba Gas Udyog (P) Ltd.,"Kalankisthan,","+977-1-4281841,,"
Shakti Gas (P) Ltd.,"New Road, GPO Box: 315,","+977-1-523835+977-1-530358+977-1-521758,,"
Shree Satya Narayan Gas Industries Pvt. Ltd.,"Balkumari,","00977-1-50061415006147,00977-9808901230,"
SWASTIK OIL INDUSTRIES PVT. LTD.,"Dillibazar,","44379914437993,,"
Trishul Gas Pvt. Ltd.,"Ghantaghar, GPO Box: 472,","+977-1-4226414+977-1-4244154+977-1-2001220,,"
AGRI IMPEX,"Tahachal,","42700824273401,,"
AMARSHAKTI ENTERPRISES,"Kamaladi,","4212078,,"
ARIHANT INDUSTRIES,"Surkhet,","520829,,"
ARUN BANASPATI UDYOG LTD.,"Sanihat,","525310525081,,"
ARYAL TEL UDYOG,"Prithibichowk, Chitwan","520770,,"
ASHOK GAS SERVICE,"Gyaneshwor,","4415939,,"
ASHOK TRADE INTERNATIOANAL,"Kathari,","527458,,"
Asian Gas Centre,"New Road,","00977-1-4238408,,"
BABA GAS SUPPLIERS,"Butwal/Bhairahawa,","543226545972,,"
Bagmati Gas Suppliers,"Narayanghat,","056-520307,,"
Bagmati Gas Suppliers,unknown,"520915,,"
Baikalpik Urja Bikash Company Pvt. Ltd.,"Chitwan,","056-525331,,"
BAJRANG RICE AND OIL MILL,"Station Road,","520089,,"
BAJARANG RICE AND OIL MILL,"Station Road,","520089,,"
Baneshori Gobar Gas Company Pvt. Ltd.,unknown,"9846023112,,"
Bhairabi Gobas Gas Udhyog Pvt. Ltd.,"Nuwakot, Nuwakot","010-69257,,"
BHAGAWATI OIL MILL,"Kalikanagar, Butwal/Bhairahawa","540063,,"
BHAGAWATI OILL MILL,"Kalikanagar, Butwal/Bhairahawa","540063,,"
Bhrikuti Gobas Gas Co. Pvt. Ltd.,"Kapilbastu, Bhairahawa","562238,,"
Bikram Gas Dipo,"Chapali,","00977-1-4375137,,"
BINDYABASHINI OIL,"Chitwan,","520483,,"
Biogas Construction & Energy Development Pvt. Ltd.,"Guleriya, Bardiya, Bardiya","084-420524,,"
BIO GAS CONTRUCTION AND ENERGY DEVELOPMENT PVT. LTD.,"Bardiya,","420524,,"
BISHAL GAS SERVICE CENTRE,"Sundhara,","4216252,,"
BISWA TRADE LINC,"Hetauda,","520915,,"
Butwal Gobar Gas,unknown,"541973545848,,"
